rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
1	tribe01	31811	113	113	0	g5_7seqs	113	100.00	100.00	g5_7seqs:113
2	tribe02	152137	72	72	0	g4_77seqs	72	100.00	100.00	g4_77seqs:72
3	tribe03	32064	50	50	0	g5_7seqs	50	100.00	100.00	g5_7seqs:50
4	tribe04	31425	46	46	0	g5_7seqs	46	100.00	100.00	g5_7seqs:46
5	tribe05	31920	41	41	0	g5_7seqs	41	100.00	100.00	g5_7seqs:41
6	tribe06	31636	40	40	0	g5_7seqs	40	100.00	100.00	g5_7seqs:40
7	tribe07	91639	40	40	0	g3_71seqs	40	100.00	100.00	g3_71seqs:40
8	tribe08	160523	39	39	0	g4_77seqs	39	100.00	100.00	g4_77seqs:39
9	tribe09	20437	37	37	0	g5_7seqs	37	100.00	100.00	g5_7seqs:37
10	tribe10	184366	37	37	0	g4_77seqs	37	100.00	100.00	g4_77seqs:37
11	tribe11	92511	35	10	25	g3_71seqs	10	28.57	100.00	g3_71seqs:10
12	tribe12	95788	34	29	5	g3_71seqs	29	85.29	100.00	g3_71seqs:29
13	tribe13	20114	31	31	0	g5_7seqs	31	100.00	100.00	g5_7seqs:31
14	tribe14	34793	31	31	0	g5_7seqs	31	100.00	100.00	g5_7seqs:31
15	tribe15	106192	30	22	8	g3_71seqs	22	73.33	100.00	g3_71seqs:22
16	tribe16	151715	29	29	0	g4_77seqs	29	100.00	100.00	g4_77seqs:29
17	tribe17	65173	26	26	0	g5_7seqs	26	100.00	100.00	g5_7seqs:26
18	tribe18	36596	24	24	0	g5_7seqs	24	100.00	100.00	g5_7seqs:24
19	tribe19	32929	23	23	0	g5_7seqs	23	100.00	100.00	g5_7seqs:23
20	tribe20	94388	22	22	0	g3_71seqs	22	100.00	100.00	g3_71seqs:22
21	tribe21	103482	22	15	7	g3_71seqs	15	68.18	100.00	g3_71seqs:15
22	tribe22	134605	21	21	0	g4_77seqs	21	100.00	100.00	g4_77seqs:21
23	tribe23	39316	20	20	0	g5_7seqs	20	100.00	100.00	g5_7seqs:20
24	tribe24	95387	20	20	0	g5_7seqs	20	100.00	100.00	g5_7seqs:20
25	tribe25	75860	18	17	1	g3_71seqs	17	94.44	100.00	g3_71seqs:17
26	tribe26	93145	18	18	0	g3_71seqs	18	100.00	100.00	g3_71seqs:18
27	tribe27	153157	18	18	0	g4_77seqs	18	100.00	100.00	g4_77seqs:18
28	tribe28	155008	18	18	0	g4_77seqs	18	100.00	100.00	g4_77seqs:18
29	tribe29	94693	17	5	12	g3_71seqs	5	29.41	100.00	g3_71seqs:5
30	tribe30	151957	17	17	0	g4_77seqs	17	100.00	100.00	g4_77seqs:17
31	tribe31	80925	16	16	0	g4_77seqs	16	100.00	100.00	g4_77seqs:16
32	tribe32	91120	16	16	0	g4_77seqs	16	100.00	100.00	g4_77seqs:16
33	tribe33	94040	16	16	0	g3_71seqs	16	100.00	100.00	g3_71seqs:16
34	tribe34	120036	16	8	8	g3_71seqs	8	50.00	100.00	g3_71seqs:8
35	tribe35	128528	16	16	0	g4_77seqs	16	100.00	100.00	g4_77seqs:16
36	tribe36	22623	15	15	0	g5_7seqs	15	100.00	100.00	g5_7seqs:15
37	tribe37	36048	15	15	0	g5_7seqs	15	100.00	100.00	g5_7seqs:15
38	tribe38	74166	15	15	0	g3_71seqs	15	100.00	100.00	g3_71seqs:15
39	tribe39	92554	15	14	1	g4_77seqs	14	93.33	100.00	g4_77seqs:14
40	tribe40	183474	15	15	0	g4_77seqs	15	100.00	100.00	g4_77seqs:15
