rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
1	tribe01	99450	163	163	0	d4_266seqs	163	100.00	100.00	d4_266seqs:163
2	tribe02	102376	104	104	0	d4_266seqs	104	100.00	100.00	d4_266seqs:104
3	tribe03	123194	101	101	0	d4_266seqs	101	100.00	100.00	d4_266seqs:101
4	tribe04	118770	96	66	30	d4_266seqs	66	68.75	100.00	d4_266seqs:66
5	tribe05	356	91	91	0	d4_266seqs	91	100.00	100.00	d4_266seqs:91
6	tribe06	93769	85	85	0	d4_266seqs	85	100.00	100.00	d4_266seqs:85
7	tribe07	127588	77	77	0	d4_266seqs	77	100.00	100.00	d4_266seqs:77
8	tribe08	200546	73	73	0	d4_266seqs	73	100.00	100.00	d4_266seqs:73
9	tribe09	101227	72	72	0	d4_266seqs	72	100.00	100.00	d4_266seqs:72
10	tribe10	2589	70	70	0	d4_266seqs	70	100.00	100.00	d4_266seqs:70
11	tribe11	2503	67	67	0	d4_266seqs	67	100.00	100.00	d4_266seqs:67
12	tribe12	123666	65	65	0	d4_266seqs	65	100.00	100.00	d4_266seqs:65
13	tribe13	127210	63	63	0	d4_266seqs	63	100.00	100.00	d4_266seqs:63
14	tribe14	129109	63	63	0	d4_266seqs	63	100.00	100.00	d4_266seqs:63
15	tribe15	100380	56	56	0	d4_266seqs	56	100.00	100.00	d4_266seqs:56
16	tribe16	123169	55	12	43	d4_266seqs	12	21.82	100.00	d4_266seqs:12
17	tribe17	123819	53	53	0	d4_266seqs	53	100.00	100.00	d4_266seqs:53
18	tribe18	339	51	51	0	d4_266seqs	51	100.00	100.00	d4_266seqs:51
19	tribe19	4370	50	50	0	d4_266seqs	50	100.00	100.00	d4_266seqs:50
20	tribe20	123717	43	43	0	d4_266seqs	43	100.00	100.00	d4_266seqs:43
21	tribe21	125130	43	43	0	d4_266seqs	43	100.00	100.00	d4_266seqs:43
22	tribe22	127213	43	43	0	d4_266seqs	43	100.00	100.00	d4_266seqs:43
23	tribe23	124215	39	39	0	d4_266seqs	39	100.00	100.00	d4_266seqs:39
24	tribe24	8	38	38	0	d4_266seqs	38	100.00	100.00	d4_266seqs:38
25	tribe25	97183	38	38	0	d4_266seqs	38	100.00	100.00	d4_266seqs:38
26	tribe26	112066	38	38	0	d4_266seqs	38	100.00	100.00	d4_266seqs:38
27	tribe27	147825	36	36	0	d4_266seqs	36	100.00	100.00	d4_266seqs:36
28	tribe28	170808	36	15	21	d4_266seqs	15	41.67	100.00	d4_266seqs:15
29	tribe29	172068	36	36	0	d4_266seqs	36	100.00	100.00	d4_266seqs:36
30	tribe30	2280	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
31	tribe31	94804	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
32	tribe32	99117	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
33	tribe33	123740	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
34	tribe34	124562	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
35	tribe35	126411	35	35	0	d4_266seqs	35	100.00	100.00	d4_266seqs:35
36	tribe36	97494	33	33	0	d4_266seqs	33	100.00	100.00	d4_266seqs:33
37	tribe37	102580	33	33	0	d4_266seqs	33	100.00	100.00	d4_266seqs:33
38	tribe38	123174	32	32	0	d4_266seqs	32	100.00	100.00	d4_266seqs:32
39	tribe39	124169	32	32	0	d4_266seqs	32	100.00	100.00	d4_266seqs:32
40	tribe40	102517	31	31	0	d4_266seqs	31	100.00	100.00	d4_266seqs:31
41	tribe41	123970	31	31	0	d4_266seqs	31	100.00	100.00	d4_266seqs:31
42	tribe42	126226	31	31	0	d4_266seqs	31	100.00	100.00	d4_266seqs:31
43	tribe43	124100	30	30	0	d4_266seqs	30	100.00	100.00	d4_266seqs:30
44	tribe44	131346	30	30	0	d4_266seqs	30	100.00	100.00	d4_266seqs:30
45	tribe45	132378	30	30	0	d4_266seqs	30	100.00	100.00	d4_266seqs:30
46	tribe46	104998	29	29	0	d4_266seqs	29	100.00	100.00	d4_266seqs:29
47	tribe47	405051	29	29	0	d4_266seqs	29	100.00	100.00	d4_266seqs:29
48	tribe48	124232	28	28	0	d4_266seqs	28	100.00	100.00	d4_266seqs:28
49	tribe49	124513	28	28	0	d4_266seqs	28	100.00	100.00	d4_266seqs:28
50	tribe50	170450	28	28	0	d4_266seqs	28	100.00	100.00	d4_266seqs:28
51	tribe51	113614	27	27	0	d4_266seqs	27	100.00	100.00	d4_266seqs:27
52	tribe52	123261	27	27	0	d4_266seqs	27	100.00	100.00	d4_266seqs:27
53	tribe53	174443	27	23	4	d4_266seqs	23	85.19	100.00	d4_266seqs:23
54	tribe54	245023	27	27	0	d4_266seqs	27	100.00	100.00	d4_266seqs:27
55	tribe55	3819	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
56	tribe56	100999	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
57	tribe57	123216	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
58	tribe58	126907	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
59	tribe59	129939	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
60	tribe60	131513	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
61	tribe61	134059	26	26	0	d4_266seqs	26	100.00	100.00	d4_266seqs:26
