category	name	total	in_tandem	pct_tandem
subfamily	e1-1	123749	13244	10.7
subfamily	e1-2	146021	29917	20.5
subfamily	e1-3consensus_32seqs	83033	6521	7.9
subfamily	e1-4	10859	85	0.8
subfamily	e2-1	631692	74333	11.8
subfamily	e2-2	11578	141	1.2
subfamily	e2-3	647525	75876	11.7
subfamily	e2-4	81431	7375	9.1
subfamily	TOTAL	1735888	207492	11.95
tribe	tribe01	500	1	0.2
tribe	tribe02	500	445	89.0
tribe	tribe03	500	1	0.2
tribe	tribe04	500	0	0.0
tribe	tribe05	500	0	0.0
tribe	tribe06	500	1	0.2
tribe	tribe07	500	448	89.6
tribe	tribe08	500	0	0.0
tribe	tribe09	500	443	88.6
tribe	tribe10	475	0	0.0
