cluster_id	n	left_identity_pct	right_identity_pct	pass
159155	222	32.2	58.2	no
10605	146	31.2	63.0	no
24069	199	32.9	63.1	no
1198389	119	63.1	63.4	no
11535	229	31.1	64.8	no
184652	133	32.3	67.6	no
11960	149	32.8	67.8	no
189222	149	33.3	68.7	no
158992	133	33.2	70.4	no
449354	373	33.5	71.4	no
447956	155	32.0	72.6	no
19132	159	32.5	77.7	no
735378	154	74.1	79.0	no
738792	102	85.5	80.0	no
697053	313	89.1	86.6	no
739096	144	93.2	79.4	no
778384	149	94.8	96.4	no
378127	121	96.5	78.3	no
738466	121	96.2	97.1	no
738520	132	90.4	97.2	no
93477	127	97.3	72.0	no
331994	341	97.7	94.4	no
850094	109	97.8	71.9	no
332020	147	97.9	90.0	no
738530	286	97.4	98.1	no
332070	210	87.9	98.6	no
331984	225	98.3	98.7	no
332045	331	97.8	98.8	no
76694	114	98.9	92.9	no
699969	159	94.1	99.0	no
807043	212	99.1	89.7	no
738640	146	97.7	99.1	no
699929	111	99.1	94.1	no
700232	205	91.6	99.1	no
1402140	167	98.4	99.3	no
1402157	122	97.9	99.4	no
332061	250	99.1	99.4	no
373462	252	99.4	91.5	no
332094	207	97.7	99.5	no
738637	139	99.5	99.6	no
738735	152	98.0	99.6	no
767922	105	99.7	91.6	no
998843	108	99.6	99.8	no
332093	243	99.9	90.6	no
739163	121	95.1	100.0	no
375278	102	100.0	79.4	no
377866	135	100.0	82.9	no
378002	197	100.0	96.6	no

# Background: 25.0% mean pairwise identity on 2000 sampled pairs of random
# unrelated 70bp genomic windows (n=300 windows, all contigs). Threshold:
# both left AND right identity must be <=35% to pass. 0/48 pass.
