rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
1	tribe01	388734	25	25	0	d4_266seqs	25	100.00	100.00	d4_266seqs:25
2	tribe02	390289	20	17	3	d4_266seqs	17	85.00	100.00	d4_266seqs:17
3	tribe03	80647	19	19	0	d3_38seqs	19	100.00	100.00	d3_38seqs:19
4	tribe04	385428	19	19	0	d4_266seqs	19	100.00	100.00	d4_266seqs:19
5	tribe05	2444	17	14	3	d4_266seqs	14	82.35	100.00	d4_266seqs:14
6	tribe06	77315	15	15	0	d3_38seqs	15	100.00	100.00	d3_38seqs:15
7	tribe07	385356	14	13	1	d4_266seqs	13	92.86	100.00	d4_266seqs:13
8	tribe08	393003	14	12	2	d4_266seqs	12	85.71	100.00	d4_266seqs:12
9	tribe09	390315	12	12	0	d4_266seqs	12	100.00	100.00	d4_266seqs:12
10	tribe10	392813	12	12	0	d4_266seqs	12	100.00	100.00	d4_266seqs:12
11	tribe11	77669	11	11	0	d2_8seqs	11	100.00	100.00	d2_8seqs:11
12	tribe12	386010	11	11	0	d4_266seqs	11	100.00	100.00	d4_266seqs:11
13	tribe13	5497	10	10	0	d3_38seqs	10	100.00	100.00	d3_38seqs:10
14	tribe14	382790	10	10	0	d4_266seqs	10	100.00	100.00	d4_266seqs:10
15	tribe15	386963	10	10	0	d4_266seqs	10	100.00	100.00	d4_266seqs:10
16	tribe16	391144	10	10	0	d4_266seqs	10	100.00	100.00	d4_266seqs:10
17	tribe17	909	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
18	tribe18	79152	9	9	0	d3_38seqs	9	100.00	100.00	d3_38seqs:9
19	tribe19	81740	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
20	tribe20	377595	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
21	tribe21	379176	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
22	tribe22	380784	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
23	tribe23	387618	9	9	0	d4_266seqs	9	100.00	100.00	d4_266seqs:9
24	tribe24	388809	9	8	1	d4_266seqs	8	88.89	100.00	d4_266seqs:8
25	tribe25	395202	9	8	1	d4_266seqs	8	88.89	100.00	d4_266seqs:8
26	tribe26	79013	8	8	0	d2_8seqs	8	100.00	100.00	d2_8seqs:8
27	tribe27	79750	8	8	0	d2_8seqs	8	100.00	100.00	d2_8seqs:8
28	tribe28	107350	8	5	3	d3_38seqs	5	62.50	100.00	d3_38seqs:5
29	tribe29	217640	8	8	0	d3_38seqs	8	100.00	100.00	d3_38seqs:8
30	tribe30	246772	8	0	8	unassigned	0	0.00	0.00	-
31	tribe31	377242	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
32	tribe32	380056	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
33	tribe33	381090	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
34	tribe34	381459	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
35	tribe35	381461	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
36	tribe36	381511	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
37	tribe37	385407	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
38	tribe38	389201	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
39	tribe39	390505	8	8	0	d4_266seqs	8	100.00	100.00	d4_266seqs:8
40	tribe40	668	7	3	4	d4_266seqs	2	28.57	66.67	d4_266seqs:2;d2_8seqs:1
41	tribe41	2272	7	5	2	d4_266seqs	5	71.43	100.00	d4_266seqs:5
42	tribe42	6521	7	7	0	d2_8seqs	7	100.00	100.00	d2_8seqs:7
43	tribe43	16934	7	7	0	d3_38seqs	7	100.00	100.00	d3_38seqs:7
44	tribe44	82699	7	5	2	d4_266seqs	5	71.43	100.00	d4_266seqs:5
45	tribe45	86214	7	7	0	d2_8seqs	7	100.00	100.00	d2_8seqs:7
46	tribe46	229848	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
47	tribe47	375155	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
48	tribe48	376796	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
49	tribe49	377469	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
50	tribe50	378414	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
51	tribe51	378754	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
52	tribe52	383586	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
53	tribe53	385837	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
54	tribe54	388359	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
55	tribe55	389722	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
56	tribe56	392078	7	7	0	d4_266seqs	7	100.00	100.00	d4_266seqs:7
57	tribe57	393989	7	6	1	d4_266seqs	5	71.43	83.33	d4_266seqs:5;d2_8seqs:1
58	tribe58	1734	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
59	tribe59	2346	6	5	1	d4_266seqs	5	83.33	100.00	d4_266seqs:5
60	tribe60	2876	6	4	2	d4_266seqs	4	66.67	100.00	d4_266seqs:4
61	tribe61	3646	6	4	2	d4_266seqs	4	66.67	100.00	d4_266seqs:4
62	tribe62	11630	6	6	0	d3_38seqs	6	100.00	100.00	d3_38seqs:6
63	tribe63	19428	6	6	0	d2_8seqs	6	100.00	100.00	d2_8seqs:6
64	tribe64	42259	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
65	tribe65	55148	6	6	0	d3_38seqs	6	100.00	100.00	d3_38seqs:6
66	tribe66	57155	6	6	0	d2_8seqs	6	100.00	100.00	d2_8seqs:6
67	tribe67	70178	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
68	tribe68	88517	6	6	0	d2_8seqs	6	100.00	100.00	d2_8seqs:6
69	tribe69	91665	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
70	tribe70	99140	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
71	tribe71	100034	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
72	tribe72	102216	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
73	tribe73	103976	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
74	tribe74	121681	6	6	0	d2_8seqs	6	100.00	100.00	d2_8seqs:6
75	tribe75	124041	6	6	0	d2_8seqs	6	100.00	100.00	d2_8seqs:6
76	tribe76	153932	6	3	3	d4_266seqs	3	50.00	100.00	d4_266seqs:3
77	tribe77	176249	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
78	tribe78	241539	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
79	tribe79	383136	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
80	tribe80	385274	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
81	tribe81	385331	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
82	tribe82	385788	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
83	tribe83	386920	6	6	0	d4_266seqs	6	100.00	100.00	d4_266seqs:6
