subfamily	has_top100	has_rand100	has_subfam	n_members
7SLRNA	1	1	1	608
AluJb	1	1	1	34911
AluJb_short_	1	1	1	7013
AluJo	1	1	1	1907
AluJr	1	1	1	9497
AluJr4	1	1	1	22323
AluSc	1	1	1	21781
AluSc5	1	1	1	4073
AluSc8	1	1	1	10626
AluSg	1	1	0	66
AluSg4	1	1	1	607
AluSg7	1	1	1	7951
AluSp	1	1	1	48233
AluSq	1	1	1	3208
AluSq10	1	1	1	1245
AluSq2	1	1	1	9692
AluSq4	1	1	1	439
AluSx	1	1	1	791
AluSx1	1	1	1	469
AluSx3	1	1	1	4378
AluSx4	1	1	1	6194
AluSx_short_	1	1	0	6
AluSz	1	1	1	5367
AluSz6	1	1	1	12633
AluY	1	1	0	60
AluYa5	1	1	1	3243
AluYa8	1	1	0	35
AluYb8	1	1	0	230
AluYb9	1	1	0	21
AluYc	1	1	1	1149
AluYc3	1	1	1	468
AluYd8	1	1	0	142
AluYe5	1	1	0	373
AluYe6	1	1	0	1
AluYg6	1	1	1	404
AluYh3	1	1	0	86
AluYh7	1	1	0	14
AluYh9	1	1	0	39
AluYi6	1	1	0	304
AluYk11	1	1	0	204
AluYk12	1	1	0	81
AluYk3	1	1	0	9
AluYk4	1	1	0	221
AluYm1	1	1	0	77
AluY_short_	1	1	0	88
AmnSINE1	1	1	0	9
AmnSINE2	1	1	0	13
ASR	1	1	0	77
BC200	1	1	1	592
CAS	1	1	0	87
FAM	1	1	1	4553
FLAM_A	1	1	1	13454
FLAM_C	1	1	1	22614
FLAM_C_short_	1	1	1	6554
FRAM	1	1	1	5729
FRAM_short_	1	1	1	978
LFSINE_Vert	1	1	0	23
LmeSINE1c	1	1	0	14
MamSINE1	1	1	0	267
MIR	1	1	1	54979
MIR1_Amn	1	1	1	740
MIR3	1	1	1	8942
MIRb	1	1	1	42763
MIRc	1	1	1	11246
