subfam	firm_assigned	soft_assigned	total_assigned	leak_n	conf_alt_n	firm_pct	total_pct	leak_pct	conf_alt_pct	sim_mean	sim_median
r3_58seqs	22538	499	23037	4726	22460	32.23	32.95	20.97	99.65	0.8102	0.7927
r6_210seqs	13335	722	14057	822	13307	19.07	20.10	6.16	99.79	0.7508	0.7818
r7_133seqs	6956	273	7229	929	6860	9.95	10.34	13.36	98.62	0.8916	0.9067
r9_15seqs	6940	283	7223	299	2542	9.93	10.33	4.31	36.63	0.8751	0.8890
r10_19seqs	5188	278	5466	107	5068	7.42	7.82	2.06	97.69	0.7861	0.8096
r1_9seqs	3951	87	4038	1466	3854	5.65	5.77	37.10	97.54	0.8368	0.8503
r5_27seqs	3940	110	4050	877	3851	5.63	5.79	22.26	97.74	0.6891	0.6391
r8_83seqs	3923	374	4297	547	3884	5.61	6.15	13.94	99.01	0.7286	0.7619
r2_3seqs	362	106	468	243	354	0.52	0.67	67.13	97.79	0.8903	0.9383
r4_32seqs	29	29	58	24	24	0.04	0.08	82.76	82.76	0.7827	0.8474
