rank	tribe_id	cluster_id	seq_count	assigned_count	unassigned_or_missing_count	dominant_subfamily	dominant_subfamily_count	dominant_subfamily_pct_total	dominant_subfamily_pct_assigned	subfamily_breakdown
1	tribe01	2942	27	13	14	s6_7seqs	13	48.15	100.00	s6_7seqs:13
2	tribe02	58480	23	23	0	s3_43seqs	23	100.00	100.00	s3_43seqs:23
3	tribe03	88002	22	22	0	s3_43seqs	22	100.00	100.00	s3_43seqs:22
4	tribe04	165663	22	18	4	s8_225seqs	18	81.82	100.00	s8_225seqs:18
5	tribe05	324302	19	4	15	s6_7seqs	4	21.05	100.00	s6_7seqs:4
6	tribe06	136585	16	6	10	s4_60seqs	3	18.75	50.00	s4_60seqs:3;s6_7seqs:3
7	tribe07	145350	16	0	16	unassigned	0	0.00	0.00	-
8	tribe08	193989	16	11	5	s6_7seqs	6	37.50	54.55	s6_7seqs:6;s4_60seqs:5
9	tribe09	209173	16	8	8	s6_7seqs	5	31.25	62.50	s6_7seqs:5;s4_60seqs:3
10	tribe10	51653	15	11	4	s7g_172seqs	11	73.33	100.00	s7g_172seqs:11
11	tribe11	226462	15	13	2	s6_7seqs	13	86.67	100.00	s6_7seqs:13
12	tribe12	232637	15	15	0	s8_225seqs	15	100.00	100.00	s8_225seqs:15
13	tribe13	318951	15	15	0	s6_7seqs	15	100.00	100.00	s6_7seqs:15
14	tribe14	318952	15	14	1	s2_38seqs	14	93.33	100.00	s2_38seqs:14
15	tribe15	232796	14	3	11	s6_7seqs	3	21.43	100.00	s6_7seqs:3
16	tribe16	255772	14	2	12	s8_225seqs	2	14.29	100.00	s8_225seqs:2
17	tribe17	313034	14	14	0	s8_225seqs	14	100.00	100.00	s8_225seqs:14
18	tribe18	377083	14	14	0	s7g_172seqs	14	100.00	100.00	s7g_172seqs:14
19	tribe19	58541	13	2	11	s3_43seqs	2	15.38	100.00	s3_43seqs:2
20	tribe20	88013	13	0	13	unassigned	0	0.00	0.00	-
21	tribe21	163248	13	10	3	s4_60seqs	9	69.23	90.00	s4_60seqs:9;s6_7seqs:1
22	tribe22	181257	13	1	12	s9_20seqs	1	7.69	100.00	s9_20seqs:1
23	tribe23	195426	13	6	7	s4_60seqs	3	23.08	50.00	s4_60seqs:3;s6_7seqs:3
24	tribe24	197242	13	1	12	s4_60seqs	1	7.69	100.00	s4_60seqs:1
25	tribe25	209061	13	11	2	s4_60seqs	11	84.62	100.00	s4_60seqs:11
26	tribe26	255882	13	9	4	s7g_172seqs	9	69.23	100.00	s7g_172seqs:9
27	tribe27	255896	13	12	1	s1_30seqs	12	92.31	100.00	s1_30seqs:12
28	tribe28	337296	13	13	0	s8_225seqs	13	100.00	100.00	s8_225seqs:13
29	tribe29	340993	13	11	2	s7g_172seqs	11	84.62	100.00	s7g_172seqs:11
