subfamily	side	boundary_bp	status	final_identity_pct	final_elevated_frac_pct	background_identity_pct	background_elevated_frac_pct
g01	upstream	300	confirmed	24.013	4.000	14.586	0.050
g01	downstream	400	confirmed	23.440	4.667	14.586	0.050
g02	upstream	150	confirmed	14.907	0.000	14.586	0.050
g02	downstream	500	confirmed	22.440	4.667	14.586	0.050
g03	upstream	50	confirmed	16.733	4.667	14.586	0.050
g03	downstream	50	confirmed	15.773	0.000	14.586	0.050
g04	upstream	200	confirmed	19.467	4.667	14.586	0.050
g04	downstream	550	confirmed	16.280	4.667	14.586	0.050
g05	upstream	100	confirmed	14.627	0.000	14.586	0.050
g05	downstream	50	confirmed	17.293	0.000	14.586	0.050
g06	upstream	150	confirmed	14.613	2.000	14.586	0.050
g06	downstream	150	confirmed	16.427	2.667	14.586	0.050
g07	upstream	50	confirmed	13.760	0.000	14.586	0.050
g07	downstream	50	confirmed	13.893	0.000	14.586	0.050
g08	upstream	50	confirmed	16.813	2.667	14.586	0.050
g08	downstream	50	confirmed	14.693	0.667	14.586	0.050
g09	upstream	50	confirmed	15.133	0.667	14.586	0.050
g09	downstream	50	confirmed	13.667	0.000	14.586	0.050
g10	upstream	600	confirmed	23.347	1.333	14.586	0.050
g10	downstream	600	confirmed	25.653	4.000	14.586	0.050
g11	upstream	150	confirmed	16.714	1.333	14.586	0.050
g11	downstream	50	confirmed	16.813	1.333	14.586	0.050
g12	upstream	450	confirmed	15.760	2.000	14.586	0.050
g12	downstream	500	confirmed	21.773	3.333	14.586	0.050
g13	upstream	50	confirmed	16.427	4.667	14.586	0.050
g13	downstream	50	confirmed	19.173	4.667	14.586	0.050
g14	upstream	50	confirmed	15.960	2.000	14.586	0.050
g14	downstream	50	confirmed	17.747	2.000	14.586	0.050
g15	upstream	100	confirmed	14.573	0.000	14.586	0.050
g15	downstream	100	confirmed	15.701	0.000	14.586	0.050
g16	upstream	50	confirmed	19.440	2.667	14.586	0.050
g16	downstream	50	confirmed	21.387	2.000	14.586	0.050
g17	upstream	550	confirmed	14.253	3.333	14.586	0.050
g17	downstream	1000	undetermined	32.013	10.667	14.586	0.050
g18	upstream	1000	undetermined	22.027	6.667	14.586	0.050
g18	downstream	500	confirmed	16.227	1.333	14.586	0.050
g19	upstream	100	confirmed	14.467	2.667	14.586	0.050
g19	downstream	50	confirmed	15.907	2.000	14.586	0.050
g20	upstream	50	confirmed	18.507	2.000	14.586	0.050
g20	downstream	50	confirmed	17.493	0.000	14.586	0.050
g21	upstream	700	confirmed	18.853	4.667	14.586	0.050
g21	downstream	1000	confirmed	22.760	4.667	14.586	0.050
g22	upstream	1000	undetermined	20.147	5.333	14.586	0.050
g22	downstream	300	confirmed	14.973	0.000	14.586	0.050
g23	upstream	50	confirmed	18.227	0.000	14.586	0.050
g23	downstream	50	confirmed	18.480	4.667	14.586	0.050
g24	upstream	50	confirmed	12.867	2.667	14.586	0.050
g24	downstream	50	confirmed	15.773	1.333	14.586	0.050
g25	upstream	150	confirmed	18.907	1.333	14.586	0.050
g25	downstream	100	confirmed	19.373	1.333	14.586	0.050
g26	upstream	50	confirmed	13.387	0.667	14.586	0.050
g26	downstream	400	confirmed	18.227	4.667	14.586	0.050
g27	upstream	100	confirmed	20.813	4.667	14.586	0.050
g27	downstream	50	confirmed	16.013	0.000	14.586	0.050
g28	upstream	50	confirmed	14.977	2.000	14.586	0.050
g28	downstream	50	confirmed	16.877	1.333	14.586	0.050
g29	upstream	100	confirmed	16.947	4.000	14.586	0.050
g29	downstream	50	confirmed	21.867	4.667	14.586	0.050
