subfamily	population	side	boundary_bp	status	final_identity_pct	final_elevated_frac_pct	background_identity_pct	background_elevated_frac_pct
t1	general	upstream	100	confirmed	17.200	2.667	13.640	0.000
t1	general	downstream	50	confirmed	13.600	0.000	13.640	0.000
t1	top100	upstream	150	confirmed	14.733	0.000	13.640	0.000
t1	top100	downstream	50	confirmed	15.440	0.000	13.640	0.000
t2	general	upstream	100	confirmed	15.787	0.000	13.640	0.000
t2	general	downstream	50	confirmed	15.440	0.000	13.640	0.000
t2	top100	upstream	100	confirmed	16.440	0.667	13.640	0.000
t2	top100	downstream	50	confirmed	14.507	0.000	13.640	0.000
t3	general	upstream	50	confirmed	15.413	2.000	13.640	0.000
t3	general	downstream	50	confirmed	16.133	2.000	13.640	0.000
t3	top100	upstream	50	confirmed	16.787	2.000	13.640	0.000
t3	top100	downstream	50	confirmed	13.973	2.000	13.640	0.000
t4	general	upstream	600	confirmed	19.373	4.667	13.640	0.000
t4	general	downstream	350	confirmed	19.653	4.667	13.640	0.000
t4	top100	upstream	50	confirmed	15.560	1.333	13.640	0.000
t4	top100	downstream	100	confirmed	13.293	0.000	13.640	0.000
t5	general	upstream	50	confirmed	13.187	0.000	13.640	0.000
t5	general	downstream	50	confirmed	13.787	0.000	13.640	0.000
t5	top100	upstream	50	confirmed	15.000	1.333	13.640	0.000
t5	top100	downstream	50	confirmed	14.427	0.000	13.640	0.000
t6	general	upstream	50	confirmed	15.187	0.000	13.640	0.000
t6	general	downstream	50	confirmed	14.493	0.667	13.640	0.000
t6	top100	upstream	50	confirmed	14.040	0.000	13.640	0.000
t6	top100	downstream	50	confirmed	15.213	1.333	13.640	0.000
t7	general	upstream	50	confirmed	13.867	0.667	13.640	0.000
t7	general	downstream	50	confirmed	14.653	0.667	13.640	0.000
t7	top100	upstream	100	confirmed	15.453	3.333	13.640	0.000
t7	top100	downstream	50	confirmed	15.800	2.000	13.640	0.000
t8	general	upstream	50	confirmed	15.733	1.333	13.640	0.000
t8	general	downstream	50	confirmed	16.173	1.333	13.640	0.000
t8	top100	upstream	50	confirmed	14.107	0.000	13.640	0.000
t8	top100	downstream	50	confirmed	17.573	0.667	13.640	0.000
