subfamily	has_top100	has_rand100	has_subfam	n_members
SINE_0	1	1	1	4316
SINE_1	1	1	1	3955
SINE_10	1	1	0	191
SINE_11	1	1	1	973
SINE_12	1	1	1	1058
SINE_13	1	1	1	3453
SINE_14	1	1	1	7221
SINE_15	1	1	1	2677
SINE_16	1	1	0	114
SINE_17	1	1	0	259
SINE_18	1	1	1	83906
SINE_19	1	1	0	328
SINE_2	1	1	1	2022
SINE_20	1	1	0	163
SINE_21	1	1	0	10
SINE_22	1	1	1	867
SINE_23	1	1	0	266
SINE_24	1	1	1	9504
SINE_25	1	1	1	15940
SINE_26	1	1	1	3006
SINE_27	1	1	1	428
SINE_28	1	1	1	1193
SINE_29	1	1	1	8107
SINE_3	1	1	0	76
SINE_30	1	1	1	6437
SINE_31	1	1	1	13910
SINE_32	1	1	1	19108
SINE_33	1	1	0	46
SINE_34	1	1	1	4424
SINE_35	1	1	1	502
SINE_36	1	1	1	78174
SINE_37	1	1	1	1609
SINE_38	1	1	0	53
SINE_39	1	1	0	85
SINE_4	1	1	0	145
SINE_40	1	1	0	76
SINE_41	1	1	1	25974
SINE_42	1	1	0	32
SINE_43	1	1	1	3276
SINE_44	1	1	1	763
SINE_45	1	1	1	46671
SINE_46	1	1	0	11
SINE_47	1	1	1	13252
SINE_48	1	1	0	349
SINE_49	1	1	1	8970
SINE_5	1	1	1	20217
SINE_50	1	1	0	54
SINE_51	1	1	1	14568
SINE_52	1	1	0	84
SINE_53	1	1	0	379
SINE_54	1	1	1	1455
SINE_6	1	1	0	275
SINE_7	1	1	1	6785
SINE_8	1	1	0	253
SINE_9	1	1	1	1486
